1.734379	1.833311	the-
1.833311	1.872870	-re-
1.872870	1.929882	-'s
1.934536	2.017145	a
2.162549	2.267265	the-
2.267265	2.339402	-re-
2.339402	2.488331	-'s
3.062350	3.122852	a
3.122852	3.211279	lo-
3.211279	3.269454	-t
3.269454	3.378824	o-
3.378824	3.448634	-f
3.448634	3.827937	pain
4.444596	4.870439	in
4.914653	5.040311	a
5.449866	5.580178	per-
5.580178	5.745396	-son-
5.745396	5.815207	-'s
5.815207	5.938539	wi-
5.938539	5.975771	-th
5.975771	6.068851	par-
6.068851	6.185202	-kin-
6.185202	6.245704	-son-
6.245704	6.408595	-'s
6.445827	6.585448	bo-
6.585448	6.685510	-dy
